model,accuracy,precision,recall,f1_score,auc_roc
XGBoost,0.7801376009572241,0.7850182704019488,0.7713943746259725,0.778146694838515,0.8618277884199645
Random Forest Optimized,0.7765480107687706,0.78239608801956,0.7660083782166367,0.7741155125491382,0.8579293120184173
Logistic Regression Elastic Net,0.7708644929703858,0.7873015873015873,0.7420706163973668,0.7640172520024646,0.8524681521823164
AdaBoost,0.772958420580317,0.7756952841596131,0.767803710353082,0.7717293233082707,0.8520420471367746
Random Forest,0.7711636254860903,0.773220747889023,0.7672052663076002,0.7702012616401321,0.851389735968778
